Frame	Condition	FullSentence	TargetWord
Frame0	pred	You could tell he had grown up in the South by his accent and clothes.	accent
Frame0	orth	You could tell he had grown up in the South by his accept and clothes.	accept
Frame0	sem	You could tell he had grown up in the South by his foreigner and clothes.	foreigner
Frame0	unrel	You could tell he had grown up in the South by his quarter and clothes.	quarter
Frame2	pred	Josie found she could not bend the elbow of her broken arm very far.	arm
Frame2	orth	Josie found she could not bend the elbow of her broken art very far.	art
Frame2	sem	Josie found she could not bend the elbow of her broken tone very far.	tone
Frame2	unrel	Josie found she could not bend the elbow of her broken lunch very far.	lunch
Frame3	pred	The lumberjack chopped the wood with his ax after sorting it.	ax
Frame3	orth	The lumberjack chopped the wood with his ox after sorting it.	ox
Frame3	sem	The lumberjack chopped the wood with his blood after sorting it.	blood
Frame3	unrel	The lumberjack chopped the wood with his appointment after sorting it.	appointment
Frame4	pred	Vicki was packing for a day at the beach with some friends.	beach
Frame4	orth	Vicki was packing for a day at the belch with some friends.	belch
Frame4	sem	Vicki was packing for a day at the blanket with some friends.	blanket
Frame4	unrel	Vicki was packing for a day at the prune with some friends.	prune
Frame5	pred	The lifeguards patrolled a stretch of the beach before dusk.	beach
Frame5	orth	The lifeguards patrolled a stretch of the peach before dusk.	peach
Frame5	sem	The lifeguards patrolled a stretch of the bum before dusk.	bum
Frame5	unrel	The lifeguards patrolled a stretch of the fortune before dusk.	fortune
Frame6	pred	After weeks backpacking, Victor was ready for a good night's sleep in a comfortable bed with a pillow.	bed
Frame6	orth	After weeks backpacking, Victor was ready for a good night's sleep in a comfortable red with a pillow.	red
Frame6	sem	After weeks backpacking, Victor was ready for a good night's sleep in a comfortable spring with a pillow.	spring
Frame6	unrel	After weeks backpacking, Victor was ready for a good night's sleep in a comfortable brain with a pillow.	brain
Frame8	pred	You never forget how to ride a bike once you have learned.	bike
Frame8	orth	You never forget how to ride a like once you have learned.	like
Frame8	sem	You never forget how to ride a gear once you have learned.	gear
Frame8	unrel	You never forget how to ride a link once you have learned.	link
Frame9	pred	The cut in his finger was so deep you could see the bone through the tissue.	bone
Frame9	orth	The cut in his finger was so deep you could see the none through the tissue.	none
Frame9	sem	The cut in his finger was so deep you could see the skull through the tissue.	skull
Frame9	unrel	The cut in his finger was so deep you could see the grade through the tissue.	grade
Frame11	pred	He is planning on quitting his job because he can't stand his condescending boss at all.	boss
Frame11	orth	He is planning on quitting his job because he can't stand his condescending moss at all.	moss
Frame11	sem	He is planning on quitting his job because he can't stand his condescending promotion at all.	promotion
Frame11	unrel	He is planning on quitting his job because he can't stand his condescending curtain at all.	curtain
Frame13	pred	The waiter ladled some soup into the bowl for us.	bowl
Frame13	orth	The waiter ladled some soup into the howl for us.	howl
Frame13	sem	The waiter ladled some soup into the wood for us.	wood
Frame13	unrel	The waiter ladled some soup into the day for us.	day
Frame14	pred	The matador waved his cape at the bull with zeal.	bull
Frame14	orth	The matador waved his cape at the pull with zeal.	pull
Frame14	sem	The matador waved his cape at the frog with zeal.	frog
Frame14	unrel	The matador waved his cape at the height with zeal.	height
Frame15	pred	The grade-schoolers rode to school on the bus every day.	bus
Frame15	orth	The grade-schoolers rode to school on the bun every day.	bun
Frame15	sem	The grade-schoolers rode to school on the station every day.	station
Frame15	unrel	The grade-schoolers rode to school on the lotion every day.	lotion
Frame17	pred	When they came to Florida, Arthur couldn't see the swamp from the back of the crowded tour bus he was on.	bus
Frame17	orth	When they came to Florida, Arthur couldn't see the swamp from the back of the crowded tour buy he was on.	buy
Frame17	sem	When they came to Florida, Arthur couldn't see the swamp from the back of the crowded tour fare he was on.	fare
Frame17	unrel	When they came to Florida, Arthur couldn't see the swamp from the back of the crowded tour graph he was on.	graph
Frame19	pred	For his second birthday, Leonard got a stuffed sheep and his mother baked him a big chocolate cake with frosting.	cake
Frame19	orth	For his second birthday, Leonard got a stuffed sheep and his mother baked him a big chocolate cage with frosting.	cage
Frame19	sem	For his second birthday, Leonard got a stuffed sheep and his mother baked him a big chocolate mix with frosting.	mix
Frame19	unrel	For his second birthday, Leonard got a stuffed sheep and his mother baked him a big chocolate wig with frosting.	wig
Frame21	pred	The commuter drove to work in her car after breakfast.	car
Frame21	orth	The commuter drove to work in her can after breakfast.	can
Frame21	sem	The commuter drove to work in her brakes after breakfast.	brakes
Frame21	unrel	The commuter drove to work in her poetry after breakfast.	poetry
Frame22	pred	He stalled in the middle of the intersection and had to get out and push the car one block.	car
Frame22	orth	He stalled in the middle of the intersection and had to get out and push the jar one block.	jar
Frame22	sem	He stalled in the middle of the intersection and had to get out and push the license one block.	license
Frame22	unrel	He stalled in the middle of the intersection and had to get out and push the refrain one block.	refrain
Frame23	pred	Alfonso has started biking to work instead of driving his car each way.	car
Frame23	orth	Alfonso has started biking to work instead of driving his caw each way.	caw
Frame23	sem	Alfonso has started biking to work instead of driving his bumper each way.	bumper
Frame23	unrel	Alfonso has started biking to work instead of driving his picture each way.	picture
Frame25	pred	For the snowman’s eyes the children used two pieces of coal, and for its nose they used a carrot and some olives.	carrot
Frame25	orth	For the snowman’s eyes the children used two pieces of coal, and for its nose they used a parrot and some olives.	parrot
Frame25	sem	For the snowman’s eyes the children used two pieces of coal, and for its nose they used a salad and some olives.	salad
Frame25	unrel	For the snowman’s eyes the children used two pieces of coal, and for its nose they used a tornado and some olives.	tornado
Frame27	pred	Lillian explained how she thought dogs were so much friendlier than cats or birds.	cats
Frame27	orth	Lillian explained how she thought dogs were so much friendlier than hats or birds.	hats
Frame27	sem	Lillian explained how she thought dogs were so much friendlier than litter or birds.	litter
Frame27	unrel	Lillian explained how she thought dogs were so much friendlier than equipment or birds.	equipment
Frame28	pred	The bear hibernated for winter in its cave without food.	cave
Frame28	orth	The bear hibernated for winter in its came without food.	came
Frame28	sem	The bear hibernated for winter in its bat without food.	bat
Frame28	unrel	The bear hibernated for winter in its bun without food.	bun
Frame29	pred	His office was stacked with books from floor to ceiling every semester.	ceiling
Frame29	orth	His office was stacked with books from floor to coiling every semester.	coiling
Frame29	sem	His office was stacked with books from floor to plaster every semester.	plaster
Frame29	unrel	His office was stacked with books from floor to laughter every semester.	laughter
Frame30	pred	Most bus drivers will accept only correct change from passengers.	change
Frame30	orth	Most bus drivers will accept only correct chance from passengers.	chance
Frame30	sem	Most bus drivers will accept only correct pockets from passengers.	pockets
Frame30	unrel	Most bus drivers will accept only correct knees from passengers.	knees
Frame31	pred	The crowd was uncontrollable, and it was utter chaos amidst the rioters.	chaos
Frame31	orth	The crowd was uncontrollable, and it was utter chaps amidst the rioters.	chaps
Frame31	sem	The crowd was uncontrollable, and it was utter order amidst the rioters.	order
Frame31	unrel	The crowd was uncontrollable, and it was utter boards amidst the rioters.	boards
