SentenceFrame	Condition	Plausibility	TargetCloze	Sentence
frame0	target_word	4.7	100	The student is going to the library to borrow a book tomorrow.
frame0	surface_related	1.4	100	The student is going to the library to borrow a hook tomorrow.
frame0	semantically_related	2	100	The student is going to the library to borrow a page tomorrow.
frame0	unrelated	2.1	100	The student is going to the library to borrow a sofa tomorrow.
frame1	target_word	4.7	92	Living alone is too expensive, so the students will share a flat together.
frame1	surface_related	1.5	92	Living alone is too expensive, so the students will share a flag together.
frame1	semantically_related	1.2	92	Living alone is too expensive, so the students will share a wall together.
frame1	unrelated	1.6	92	Living alone is too expensive, so the students will share a bell together.
frame2	target_word	4	73	The family enjoyed the sunny day, but there will be rain tomorrow.
frame2	surface_related	2.5	73	The family enjoyed the sunny day, but there will be pain tomorrow.
frame2	semantically_related	1.9	73	The family enjoyed the sunny day, but there will be sky tomorrow.
frame2	unrelated	1.9	73	The family enjoyed the sunny day, but there will be loss tomorrow.
frame3	target_word	4.4	95	Jack studied medicine in a university and works as a doctor now.
frame3	surface_related	1.5	95	Jack studied medicine in a university and works as a factor now.
frame3	semantically_related	1.2	95	Jack studied medicine in a university and works as a patient now.
frame3	unrelated	2.1	95	Jack studied medicine in a university and works as a tenant now.
frame4	target_word	4.5	98	Amelia got a driving licence, and will buy her own car soon.
frame4	surface_related	2.1	98	Amelia got a driving licence, and will buy her own jar soon.
frame4	semantically_related	1.7	98	Amelia got a driving licence, and will buy her own tyre soon.
frame4	unrelated	2.5	98	Amelia got a driving licence, and will buy her own rat soon.
frame5	target_word	4.4	100	Oliver doesn't have a watch, so he doesn't know the time now.
frame5	surface_related	1.3	100	Oliver doesn't have a watch, so he doesn't know the lime now.
frame5	semantically_related	1.7	100	Oliver doesn't have a watch, so he doesn't know the rest now.
frame5	unrelated	1.4	100	Oliver doesn't have a watch, so he doesn't know the bean now.
frame6	target_word	4.6	81	Rachel will go to the cinema to watch a new film tomorrow.
frame6	surface_related	1.6	81	Rachel will go to the cinema to watch a new firm tomorrow.
frame6	semantically_related	1.6	81	Rachel will go to the cinema to watch a new camera tomorrow.
frame6	unrelated	2.5	81	Rachel will go to the cinema to watch a new bird tomorrow.
frame7	target_word	4.7	64	Paul is trying to stand on one leg now.
frame7	surface_related	1.8	64	Paul is trying to stand on one lag now.
frame7	semantically_related	1.3	64	Paul is trying to stand on one hip now.
frame7	unrelated	2.5	64	Paul is trying to stand on one kid now.
frame8	target_word	4.7	92	The gambler kept losing, so he doesn't have any money left.
frame8	surface_related	1.7	92	The gambler kept losing, so he doesn't have any honey left.
frame8	semantically_related	2.2	92	The gambler kept losing, so he doesn't have any wallet left.
